Player Name,Cities,Position,Season,Games Played,Minutes Played Per Game,Points Per Game,Average Field Goals made,Average Field Goals Attempted,Field Goal Percentage,Average 3-Point Field Goals Made,Average 3-Point Field Goals Attempted,3-Point Field Goal Percentage,Average Free Throws Made,Average Free Throws Attempted,Free Throw Percentage,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Double Double,Triple Double,Player Efficiency Rating
Allen Iverson,PHI,SG,2002,60,43.7,31.4,11.1,27.8,39.8,1.3,4.5,29.1,7.9,9.8,81.2,4.5,5.5,2.8,0.2,4,4,1,0
Shaquille O'Neal,LAL,C,2002,67,36.1,27.2,10.6,18.3,57.9,0,0,0,5.9,10.7,55.5,10.7,3,0.6,2,2.6,40,0,0
Paul Pierce,BOS,SF,2002,82,40.3,26.1,8.6,19.5,44.2,2.6,6.3,40.4,6.3,7.8,80.9,6.9,3.2,1.9,1,2.9,17,0,0
Tracy McGrady,ORL,SG,2002,76,38.3,25.6,9.4,20.9,45.1,1.4,3.7,36.4,5.5,7.3,74.8,7.9,5.3,1.6,1,2.5,24,1,0
Tim Duncan,SA,C,2002,82,40.6,25.5,9.3,18.3,50.8,0,0.1,10,6.8,8.5,79.9,12.7,3.7,0.7,2.5,3.2,67,0,0
Kobe Bryant,LAL,SF,2002,80,38.3,25.2,9.4,20,46.9,0.4,1.7,25,6.1,7.4,82.9,5.5,5.5,1.5,0.4,2.8,11,1,0
Vince Carter,TOR,G,2002,60,39.8,24.7,9.3,21.8,42.8,2,5.2,38.7,4.1,5.1,79.8,5.2,4,1.6,0.7,2.6,5,0,0
Dirk Nowitzki,DAL,F,2002,76,38,23.4,7.9,16.6,47.7,1.8,4.6,39.7,5.8,6.8,85.3,9.9,2.4,1.1,1,1.9,38,0,0
Karl Malone,UTAH,PF,2002,80,38,22.4,7.9,17.5,45.4,0.1,0.3,36,6.4,8,79.7,8.6,4.3,1.9,0.7,3.3,28,0,0
Antoine Walker,BOS,PF,2002,81,42,22.1,8.2,20.9,39.4,2.7,8,34.4,3,4,74.1,8.8,5,1.5,0.5,3.1,29,2,0
Gary Payton,SEA,PG,2002,82,40.3,22.1,9,19.2,46.7,0.9,2.9,31.4,3.3,4.1,79.7,4.8,9,1.6,0.3,2.5,32,2,0
Ray Allen,MIL,SG,2002,69,36.6,21.8,7.7,16.6,46.2,3.3,7.7,43.4,3.1,3.6,87.3,4.5,3.9,1.3,0.3,2.3,3,0,0
Cuttino Mobley,HOU,SG,2002,74,42.1,21.7,8,18.4,43.8,2,5.1,39.5,3.6,4.2,85,4.1,2.5,1.5,0.5,2.4,1,0,0
Jerry Stackhouse,DET,SF,2002,76,35.3,21.4,6.9,17.4,39.7,1.1,3.9,28.7,6.5,7.6,85.8,4.1,5.3,1,0.5,3.5,5,0,0
Shareef Abdur-Rahim,ATL,PF,2002,77,38.7,21.2,7.8,16.8,46.1,0.3,0.9,30,5.4,6.8,80.1,9,3.1,1.3,1.1,3.2,32,0,0
Peja Stojakovic,SAC,SF,2002,71,37.3,21.2,7.7,15.9,48.4,1.8,4.4,41.6,4,4.5,87.6,5.3,2.5,1.1,0.2,2,2,0,0
Kevin Garnett,MIN,PF,2002,81,39.2,21.2,8.1,17.3,47,0.5,1.4,31.9,4.4,5.5,80.1,12.1,5.2,1.2,1.6,2.8,59,0,0
Michael Finley,DAL,SG,2002,69,39.9,20.6,8.2,17.8,46.3,1.1,3.2,33.9,3,3.6,83.7,5.2,3.3,0.9,0.4,1.7,5,0,0
Jalen Rose,IND/CHI,SG,2002,83,38,20.4,8,17.6,45.5,1.1,3,36.2,3.4,4,83.9,4.5,4.3,0.9,0.5,2.4,5,0,0
Stephon Marbury,PHX,PG,2002,82,38.9,20.4,7.6,17.2,44.2,0.9,3,28.6,4.3,5.5,78.1,3.2,8.1,0.9,0.2,3.5,29,0,0
Allan Houston,NY,SG,2002,77,37.8,20.4,7.4,16.9,43.7,1.8,4.5,39.3,3.8,4.4,87,3.3,2.5,0.7,0.1,2.2,1,0,0
Antawn Jamison,GS,PF,2002,82,37,19.7,7.5,16.8,44.7,0.8,2.6,32.4,3.9,5.4,73.4,6.8,2,0.9,0.5,2,16,0,0
Sam Cassell,MIL,PG,2002,74,35.2,19.7,7.5,16.2,46.3,1,2.8,34.8,3.8,4.4,86,4.2,6.7,1.2,0.2,2.4,11,0,0
Latrell Sprewell,NY,SG,2002,81,41.1,19.4,7.1,17.5,40.4,1.8,5,36,3.5,4.3,82.1,3.7,3.9,1.2,0.2,2.8,0,0,0
Jason Terry,ATL,G,2002,78,38,19.3,6.7,15.6,43,2.2,5.7,38.7,3.6,4.4,83.5,3.5,5.7,1.8,0.2,2.3,8,0,0
Rasheed Wallace,POR,PF,2002,79,37.5,19.3,7.6,16.3,46.9,1.4,4,36,2.5,3.5,73.4,8.2,1.9,1.3,1.3,1.7,25,0,0
Shawn Marion,PHX,SG,2002,81,38.4,19.1,8.1,17.2,46.9,0.6,1.5,39.3,2.4,2.8,84.5,9.9,2,1.8,1.1,1.8,43,0,0
Jermaine O'Neal,IND,C,2002,72,37.6,19,7.5,15.7,47.9,0,0.2,7.1,3.9,5.7,68.8,10.5,1.6,0.6,2.3,2.4,39,0,0
Wally Szczerbiak,MIN,SG,2002,82,38,18.7,7.4,14.6,50.7,1.1,2.3,45.5,2.8,3.3,83.1,4.8,3.1,0.8,0.3,2.2,5,0,0
Nick Van Exel,DEN/DAL,PG,2002,72,34.7,18.4,7,17,40.9,1.7,4.9,34,2.8,3.5,80.1,3.5,6.6,0.6,0.2,2.2,11,0,0
Eddie Jones,MIA,SG,2002,81,39,18.3,6.4,14.8,43.2,1.8,4.7,39,3.7,4.4,83.7,4.7,3.2,1.4,1,1.8,2,0,0
Elton Brand,LAC,PF,2002,80,37.8,18.2,6.7,12.6,52.7,0,0,0,4.9,6.6,74.2,11.6,2.4,1,2,2.2,55,0,0
Baron Davis,CHA,PG,2002,82,40.5,18.1,6.8,16.4,41.7,2.1,5.8,35.6,2.4,4.1,58,4.3,8.5,2.1,0.6,3,29,1,0
Steve Nash,DAL,PG,2002,82,34.6,17.9,6.4,13.3,48.3,1.9,4.2,45.5,3.2,3.6,88.7,3.1,7.7,0.6,0,2.8,20,0,0
Pau Gasol,MEM,PF,2002,82,36.7,17.6,6.7,13,51.8,0,0.1,20,4.1,5.8,70.9,8.9,2.7,0.5,2.1,2.7,35,0,0
Bonzi Wells,POR,SG,2002,74,31.7,17,6.6,14,46.9,0.9,2.3,38.4,2.9,3.9,74.1,6,2.8,1.5,0.3,2.6,7,0,0
Rashard Lewis,SEA,PF,2002,71,36.4,16.8,6.4,13.7,46.8,1.7,4.5,38.9,2.3,2.8,81,7,1.7,1.5,0.6,1.4,16,0,0
Lamond Murray,CLE,SF,2002,71,32.6,16.6,6.1,13.9,43.6,1.4,3.4,42.4,3,3.7,81.7,5.2,2.2,1,0.6,2,7,0,0
Reggie Miller,IND,SG,2002,79,36.6,16.5,5.2,11.6,45.3,2.3,5.6,40.6,3.7,4.1,91.1,2.8,3.2,1.1,0.1,1.5,0,0,0
Andre Miller,CLE,PG,2002,81,37.3,16.5,5.9,12.9,45.4,0.3,1.1,25.3,4.5,5.5,81.7,4.7,10.9,1.6,0.4,3,43,3,0
Alonzo Mourning,MIA,C,2002,75,32.7,15.7,6,11.5,51.6,0,0,33.3,3.8,5.7,65.7,8.4,1.2,0.4,2.5,2.4,26,0,0
Wesley Person,CLE,SF,2002,78,35.8,15.1,6,12.1,49.5,1.8,4.1,44.4,1.3,1.6,79.8,3.8,2.2,1,0.5,0.9,2,0,0
Kenyon Martin,NJ,PF,2002,73,34.3,14.9,6.1,13.2,46.3,0.2,0.9,22.4,2.5,3.7,67.8,5.3,2.6,1.2,1.7,2.4,2,0,0
Keith Van Horn,NJ,PF,2002,81,30.4,14.8,5.8,13.4,43.3,1.2,3.6,34.5,1.9,2.4,80,7.5,2,0.8,0.5,1.8,18,0,0
Jason Kidd,NJ,PG,2002,82,37.3,14.7,5.4,13.9,39.1,1.4,4.4,32.1,2.5,3,81.4,7.3,9.9,2.1,0.2,3.5,44,8,0
Juwan Howard,DAL/DEN,PF,2002,81,32.5,14.6,5.7,12.4,46,0,0,0,3.2,4.2,76.1,7.6,2.1,0.6,0.6,1.9,17,0,0
Jeff McInnis,LAC,PG,2002,81,37.4,14.6,5.7,13.8,41.3,0.9,2.9,32.1,2.3,2.7,83.6,2.6,6.2,0.8,0.1,1.8,8,0,0
Clifford Robinson,DET,PF,2002,80,35.7,14.6,5.7,13.4,42.5,1.4,3.8,37.8,1.8,2.6,69.4,4.8,2.5,1.1,1.2,1.9,2,0,0
Antonio Davis,TOR,PF,2002,77,38.7,14.5,5.3,12.5,42.6,0,0,0,3.8,4.6,81.8,9.6,2,0.7,1.1,2.1,33,0,0
Shane Battier,MEM,SF,2002,78,39.7,14.4,5.3,12.3,42.9,1.3,3.5,37.3,2.5,3.6,70,5.4,2.8,1.6,1,2,3,0,0
Tracy McGrady,ORL,SG,2003,75,39.4,32.1,11.1,24.2,45.7,2.3,6,38.6,7.7,9.7,79.3,6.5,5.5,1.7,0.8,2.6,19,1,31.01
Kobe Bryant,LAL,SF,2003,82,41.5,30,10.6,23.5,45.1,1.5,4,38.3,7.3,8.7,84.3,6.9,5.9,2.2,0.8,3.5,23,5,27.07
Allen Iverson,PHI,SG,2003,82,42.5,27.6,9.8,23.7,41.4,1,3.7,27.7,7,9,77.4,4.2,5.5,2.7,0.2,3.5,6,0,22.14
Shaquille O'Neal,LAL,C,2003,67,37.8,27.5,10.4,18.1,57.4,0,0,0,6.7,10.8,62.2,11.1,3.1,0.6,2.4,2.9,46,0,29.43
Paul Pierce,BOS,SF,2003,79,39.2,25.9,8.4,20.2,41.6,1.5,4.9,30.2,7.6,9.5,80.2,7.3,4.4,1.8,0.8,3.6,20,1,23.49
Dirk Nowitzki,DAL,F,2003,80,39,25.1,8.6,18.6,46.3,1.9,4.9,37.9,6,6.9,88.1,9.9,3,1.4,1,1.9,41,0,25.94
